node	depends_on	docs	entry_gate	source
L0_FOUNDATION	none	common.md, config-reference.md, logging.md, time.md, miscellaneous.md	config/log/core/math/collections compile and C++ config naming/schema is decided	#REFINE.040
L1_INFRA	L0_FOUNDATION	database-framework.md, crypto.md, proto.md, datastores.md, shared-*.md	database pools, crypto, protobuf, DB2 loaders and hotfix paths have unit/golden gates	#REFINE.040
L2_PACKETS_DISPATCH	L1_INFRA	shared-packets.md, handlers.md, server.md	opcode registry has constants, parser/serializer, dispatch and processing mode per CMSG/SMSG	#REFINE.040
L3_WORLD_MAPS	L0_FOUNDATION,L1_INFRA,L2_PACKETS_DISPATCH	world.md, maps.md, grids.md, phasing.md, common-collision.md	Map/Grid/World lifecycle exists before entity runtime depends on it	#REFINE.040
L4_ENTITIES	L3_WORLD_MAPS	entities-*.md, inventory.md, pets.md	Object/WorldObject/Unit/Player runtime and UpdateFields packet replication have golden tests	#REFINE.040
L5_ENGINES	L4_ENTITIES	movement*.md, combat*.md, spells*.md, ai*.md, conditions.md	movement/combat/spell/AI can operate on real entities, maps and update fields	#REFINE.040
L6_GAME_SYSTEMS	L5_ENGINES	quests.md, loot.md, chat.md, social.md, groups.md, guilds.md, mails.md, auctionhouse.md, calendar.md, achievements.md, reputation.md, skills.md, petitions.md, pools.md	systems have DB, opcode, entity and condition dependencies satisfied or stubbed with removal IDs	#REFINE.040
L7_INSTANCES_PVP	L6_GAME_SYSTEMS	instances.md, battlegrounds.md, battlefield.md, outdoorpvp.md, dungeonfinding.md	instance/BG/PvP queues can use maps, entities, groups, spells and scripts hooks	#REFINE.040
L8_CONTENT_SCRIPTS	L7_INSTANCES_PVP,L5_ENGINES	scripting.md, scripts.md, scripts-icc.md, scripts-ulduar.md, commands.md	script framework and dependent gameplay systems exist before content scripts port	#REFINE.040
E2E_HARNESS	L0_FOUNDATION,L1_INFRA,L2_PACKETS_DISPATCH	r3-e2e-harness.md	bot/client harness command is known or replacement task blocks runtime closure	#REFINE.040
